publisher,genres,release_date,tags,price,early_access,id,developer
Crytek,"['Adventure', 'Free to Play', 'Simulation']",2015-11-18,"['Free to Play', 'Dinosaurs', 'VR', 'Multiplayer', 'Survival', 'Adventure', 'Simulation', 'First-Person', 'Open World', 'Singleplayer', '3D Vision', 'Horror', 'Action', 'Survival Horror', 'Controller', 'FPS', 'Gore', 'Co-op', 'Building', 'Zombies']",,0.0,412940.0,Crytek
GameChanger Studio,"['Adventure', 'Indie']",2017-03-17,"['Adventure', 'Indie', 'Puzzle']",8.99,0.0,598230.0,GameChanger Studio
SimplexGameStudio,"['Action', 'Casual', 'Indie']",2016-08-18,"['Action', 'Indie', 'Casual', 'Clicker']",4.99,0.0,513770.0,SimplexGameStudio
Gunia Studios,"['Adventure', 'Casual', 'Indie', 'Simulation']",2017-12-01,"['Adventure', 'Indie', 'Casual', 'Simulation']",12.99,0.0,625220.0,Gunia Studios
SEGA,['Strategy'],2010-02-25,"['Strategy', 'Historical', 'Grand Strategy', 'RTS', 'Multiplayer', 'War', 'Turn-Based Strategy', 'Tactical', 'Singleplayer', 'Military', 'Turn-Based', 'Real Time Tactics', 'Action', 'Turn-Based Tactics', 'Simulation', 'Co-op', 'Great Soundtrack', 'Naval', 'Moddable']",19.99,0.0,901162.0,The Creative Assembly
Worm Animation,"['Adventure', 'Indie']",2017-09-07,"['Adventure', 'Indie', 'Music', 'Surreal', 'Stylized', 'Post-apocalyptic', 'Sci-fi', 'Puzzle', 'Cyberpunk', 'Singleplayer']",9.99,0.0,543100.0,Worm Animation
Sekai Project,"['Adventure', 'Casual']",2015-07-29,"['Adventure', 'Casual', 'Visual Novel', 'Anime', 'Female Protagonist', 'Cute']",19.99,0.0,377720.0,Frontwing
"Goblinz Studio, WhisperGames","['Adventure', 'Indie', 'RPG', 'Strategy']",2016-09-06,"['RPG', 'Dungeon Crawler', 'Strategy', 'Indie', 'Turn-Based Combat', '2D', 'Adventure', 'Party-Based RPG', 'Turn-Based', 'Tactical RPG', 'Loot', 'Singleplayer', 'Asynchronous Multiplayer', 'Fantasy', 'Funny', 'Story Rich', 'Rogue-lite', 'Strategy RPG', 'Parody', 'Turn-Based Tactics']",14.99,0.0,429620.0,Goblinz Studio
Colorful Games,"['Action', 'Casual', 'Indie']",2017-12-15,"['Action', 'Indie', 'Casual']",2.99,0.0,653100.0,Colorful Games
VaragtP,"['Casual', 'Indie']",2017-09-11,"['Indie', 'Casual', 'Family Friendly', 'Relaxing', 'Funny', 'Singleplayer', 'Adventure', 'Colorful', 'Cute', 'Pixel Graphics']",1.99,0.0,694980.0,VaragtP
PixelMouse,"['Action', 'Adventure', 'Casual', 'Indie']",2016-12-20,"['Casual', 'Indie', 'Action', 'Adventure', ""Shoot 'Em Up"", 'Arcade']",2.99,0.0,569610.0,PixelMouse
Zero Dollarz,"['Action', 'Adventure', 'Indie', 'Simulation']",2015-08-17,"['Action', 'Adventure', 'Indie', 'Simulation']",0.99,0.0,337700.0,Zero Dollarz
Sinister Cyclops Game Studio,"['Action', 'Indie']",2017-10-03,"['Action', 'Indie', 'Platformer', '2D']",10.99,0.0,685050.0,Sinister Cyclops Game Studio
Ronimo Games,"['Action', 'Indie', 'Strategy']",2013-02-07,"['Strategy', 'Action', 'Indie']",1.49,0.0,204319.0,Ronimo Games
Retroism,"['Action', 'Simulation']",2000-03-28,"['Simulation', 'Action']",6.99,0.0,286730.0,Microprose
Rising Star Games,"['Action', 'Indie']",2017-08-08,"['Action', 'Indie']",,0.0,619801.0,Bitmap Bureau
Viva Media,"['Action', 'Casual']",2014-10-23,"['Casual', 'Action', 'Simulation']",14.99,0.0,322040.0,Fugazo
"The Fighter Collection, Eagle Dynamics SA",['Simulation'],2017-01-27,['Simulation'],9.99,0.0,555531.0,Maple Flag
Blind Bird,"['Action', 'Adventure', 'Indie']",2016-10-14,"['Horror', 'Survival Horror', 'Co-op', 'Adventure', 'Indie', 'Action', 'Psychological Horror', 'Multiplayer']",8.99,0.0,455120.0,Blind Bird
Big Fish Games,"['Adventure', 'Casual']",2016-07-21,"['Adventure', 'Casual', 'Hidden Object']",9.99,0.0,503080.0,Orneon Limited
Pixel by Pixel Studios Inc.,"['Action', 'Indie', 'RPG', 'Early Access']",2017-09-29,"['Early Access', 'Indie', 'Action', 'RPG']",4.99,1.0,674250.0,Pixel by Pixel Studios Inc.
Cherry Pop Games,"['Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Strategy']",2015-12-07,"['Free to Play', 'Sports', 'Simulation', 'Multiplayer', 'Strategy', 'Casual', 'Pool', 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Local Multiplayer', 'Relaxing', 'Physics']",,0.0,314000.0,Cherry Pop Games
Microids Indie,"['Adventure', 'Indie']",2016-03-19,"['Indie', 'Adventure', 'Psychological Horror', 'Horror', 'Survival Horror']",3.99,0.0,448540.0,Nicolas Bernard
Big Fish Games,"['Adventure', 'Casual']",2016-08-09,"['Adventure', 'Casual', 'Hidden Object']",9.99,0.0,499100.0,Blue Tea Games
Hypersect,"['Action', 'Indie', 'Strategy']",2016-08-16,"['Action', 'Strategy', 'Indie', 'Local Multiplayer', '4 Player Local', 'Local Co-Op', 'Minimalist', 'Co-op', 'Arcade']",14.99,0.0,432980.0,Hypersect
Crian Soft,"['Action', 'Indie']",2015-08-18,"['Action', 'Indie', 'Platformer', 'Arcade', ""Shoot 'Em Up"", 'Robots', 'Singleplayer', 'Sci-fi', 'Shooter', 'Mechs', 'Anime']",5.99,0.0,380990.0,Crian Soft
Perfect World Entertainment,"['Action', 'Adventure', 'Indie']",2016-08-30,"['Action', 'Adventure', 'Indie', 'Co-op', 'Top-Down Shooter', 'Top-Down', 'Robots', 'Shooter', 'Sci-fi', 'Twin Stick Shooter', 'Mechs']",9.99,0.0,251230.0,Tuque Games
jgallant,"['Casual', 'Free to Play', 'Indie', 'Strategy']",2017-05-26,"['Strategy', 'Free to Play', 'Indie', 'Casual']",2.99,0.0,644961.0,Jon Gallant
Dennis Esie,"['Action', 'Adventure', 'Indie']",2015-02-09,"['Action', 'Adventure', 'Indie', 'Horror', 'Open World', 'Walking Simulator']",4.99,0.0,348450.0,Dennis Esie
"NovaLogic, THQ Nordic",['Simulation'],1999-04-30,"['Simulation', 'Flight']",9.99,0.0,32730.0,NovaLogic
Bohemia Interactive,"['Action', 'Simulation', 'Strategy']",2014-04-10,"['Action', 'Strategy', 'Simulation', 'Multiplayer']",69.99,0.0,275700.0,Bohemia Interactive
Furion Studios,"['Action', 'Casual', 'Indie', 'Early Access']",2016-12-17,"['Early Access', 'Action', 'Indie', 'Casual', 'Cartoony', '3D Platformer']",6.99,1.0,535240.0,Furion Studios
Total Eclipse P.C.,"['Adventure', 'Casual', 'Indie']",2011-09-23,"['Adventure', 'Casual', 'Indie', 'Hidden Object', 'Point & Click']",9.99,0.0,111010.0,Total Eclipse P.C.
Degica,"['Design &amp; Illustration', 'Web Publishing']",2017-09-28,"['Design & Illustration', 'Web Publishing']",19.99,0.0,721054.0,KADOKAWA
THQ Nordic,"['Simulation', 'Strategy']",2010-07-28,"['Strategy', 'Simulation', 'Economy', 'Medieval', 'RPG', 'Politics', 'Trading', 'City Builder', 'Sandbox', 'Management', 'Singleplayer', 'Multiplayer', 'Resource Management', 'Open World', 'Historical']",9.99,0.0,39680.0,Rune Forge
NotGames,['Casual'],2015-07-02,"['Memes', 'Parody', 'Funny', 'Singleplayer', 'Satire', 'Indie', 'Comedy', 'Gore', 'Horror', 'Open World', 'Action', 'Dating Sim', 'Difficult', 'Mature', 'Multiplayer']",2.99,0.0,369580.0,NotGames
Capcom,"['Action', 'Adventure', 'Casual']",2013-08-13,"['Platformer', 'Remake', 'Adventure', 'Retro', 'Classic', 'Action', 'Great Soundtrack', 'Singleplayer', 'Casual', 'Cartoon', '2D', 'Family Friendly', 'Exploration', 'Short', 'Difficult', 'Horror']",14.99,0.0,237630.0,WayForward
PomPom Games,"['Action', 'Indie']",2012-03-21,"['Indie', 'Action', 'Twin Stick Shooter', 'Arcade']",4.99,0.0,110630.0,PomPom Games
Iceflake Studios,['Racing'],2017-04-05,['Racing'],3.99,0.0,606090.0,Iceflake Studios
PixelTail Games,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer']",2016-04-20,"['Action', 'Adventure', 'Massively Multiplayer', 'Indie', 'Casual']",4.99,0.0,461740.0,William Smith
Glass Bottom Games,"['Action', 'Adventure', 'Indie', 'RPG']",2015-03-05,"['Action', 'Adventure', 'RPG', 'Indie']",4.99,0.0,348070.0,Glass Bottom Games
KoheiGallery,"['Action', 'Indie']",2017-07-30,"['Indie', 'Action', 'Anime']",1.99,0.0,656190.0,KoheiGallery
Games by Brundle,['Action'],2017-01-06,"['Action', 'Platformer']",9.99,0.0,565330.0,Games by Brundle
New Reality Games,"['Indie', 'Racing']",2017-09-24,"['Racing', 'Indie']",0.99,0.0,447920.0,Retraissance
Arc System Works,['Action'],2015-12-09,['Action'],0.99,0.0,419474.0,Arc System Works
Anawiki Games,"['Casual', 'Indie']",2016-10-04,"['Casual', 'Indie', 'Card Game']",9.99,0.0,512260.0,Anawiki Games
Zakos Games,['Free to Play'],2016-07-22,"['Free to Play', 'Clicker', '2D', 'Anime', 'Singleplayer', 'Indie', 'Adventure', 'Family Friendly', 'RPG', 'Casual', 'Fantasy', 'Pixel Graphics']",,0.0,492800.0,Zakos Games
nextReality Games,"['Adventure', 'Indie']",2017-03-10,"['Adventure', 'Indie', 'Puzzle-Platformer']",6.99,0.0,447210.0,nextReality Games
1C Company,['Strategy'],2007-04-19,"['Strategy', 'World War II', 'RTS', 'Tanks', 'War', 'Multiplayer']",3.99,0.0,46290.0,1C Company
Nitro Games,['Strategy'],2009-07-31,"['Strategy', 'Economy', 'Historical', 'Trading']",9.99,0.0,25930.0,Nitro Games
"Shandong Jerei Digital Technology Co.,LTD.","['Indie', 'Strategy']",2017-07-29,"['Strategy', 'Indie']",3.99,0.0,687600.0,"Shandong Jerei Digital Technology Co.,LTD."
Digital Crafter,"['Casual', 'Indie']",2016-02-16,"['Indie', 'Casual', 'Card Game', 'Anime']",0.99,0.0,434680.0,Digital Crafter
Mana Potion Studios,"['Adventure', 'Casual', 'Indie']",2016-11-09,"['Adventure', 'Puzzle', 'Casual', 'Family Friendly', 'Indie', 'Character Action Game', '2D', 'Singleplayer', 'Psychological Horror']",1.99,0.0,548330.0,Mana Potion Studios
Amanita Design,"['Adventure', 'Indie']",2009-10-16,"['Point & Click', 'Adventure', 'Puzzle', 'Indie', 'Great Soundtrack', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Robots', 'Hand-drawn', '2D', 'Stylized', 'Casual', 'Cute', 'Story Rich', 'Classic', 'Touch-Friendly', 'Hidden Object', 'Difficult', 'Sci-fi']",9.99,0.0,40700.0,Amanita Design
LuGus Studios,"['Indie', 'Racing', 'Simulation', 'Sports', 'Early Access']",2015-11-09,"['Early Access', 'Simulation', 'Racing', 'Indie', 'Sports']",19.99,1.0,410340.0,LuGus Studios
Surprise Attack,['Indie'],2014-11-19,"['Indie', 'Puzzle', 'Physics']",5.99,0.0,259470.0,SeeThrough Studios
Apapappa Games,"['Action', 'Adventure', 'Indie']",2017-05-18,"['Action', 'Adventure', 'Indie']",7.99,0.0,625630.0,Apapappa Games
KSCM Consulting,"['Action', 'Strategy']",2016-09-01,"['Strategy', 'Action']",7.99,0.0,510180.0,6L6 Interactive
Marcos Rocha,['Casual'],2017-10-03,['Casual'],1.99,0.0,716190.0,Marcos Rocha
"Digital Cookie Co., Ltd.","['Action', 'Adventure', 'RPG']",2017-06-15,"['Action', 'Adventure', 'RPG']",4.99,0.0,615981.0,"Digital Cookie Co., Ltd."
QUICKTEQUILA,['Indie'],2017-07-28,"['Indie', '3D Platformer']",4.99,0.0,588540.0,QUICKTEQUILA
Stroboskop,"['Adventure', 'Indie']",2015-06-05,"['Adventure', 'Indie', 'Horror', 'Female Protagonist']",12.99,0.0,362860.0,Stroboskop
Bogemic Games,"['Casual', 'Indie']",2016-11-01,"['Indie', 'Casual']",0.99,0.0,546170.0,Bogemic Games
Dagestan Technology,"['Adventure', 'Casual']",2016-02-15,"['Adventure', 'Casual', 'Visual Novel']",7.99,0.0,388120.0,"Separate Game Development,Dagestan Technology"
Muse Games,"['Action', 'Adventure', 'Indie', 'Simulation']",2012-10-29,"['Steampunk', 'Team-Based', 'Multiplayer', 'Co-op', 'Action', 'Tactical', 'Indie', 'Competitive', 'Simulation', 'Adventure', 'Flight', 'FPS', 'Strategy', 'Online Co-Op', 'PvP', 'First-Person', 'Shooter', 'Class-Based', 'Kickstarter', 'Massively Multiplayer']",4.99,0.0,209080.0,Muse Games
Psydra Games LLC,"['Adventure', 'Casual', 'Indie', 'RPG']",2014-05-16,"['RPG', 'Indie', 'Adventure', 'Casual', 'Choose Your Own Adventure', 'Point & Click', 'Sci-fi', 'Comedy', 'Choices Matter', 'Interactive Fiction', 'Mouse only', 'Multiple Endings', 'Lovecraftian', 'Hand-drawn', 'Cartoony', 'Funny', 'Replay Value', 'Exploration', 'Turn-Based', 'Singleplayer']",4.99,0.0,293880.0,Psydra Games LLC
TinyAssociatesBand,"['Casual', 'Indie', 'RPG']",2016-06-14,"['Indie', 'Casual', 'RPG']",6.99,0.0,476370.0,TinyAssociatesBand
N3V Games,['Simulation'],2017-09-15,['Simulation'],17.99,0.0,715080.0,N3V Games
Rimlight Studios,"['Action', 'Indie']",2017-04-25,"['Action', 'Indie']",4.99,0.0,628280.0,Rimlight Studios
SOEDESCO Publishing,"['Action', 'Adventure', 'Indie', 'RPG']",2017-06-02,"['Action', 'Adventure', 'RPG', 'Indie']",9.99,0.0,624530.0,Triangle Studios
"2K Games, Aspyr (Mac and Linux)",['Strategy'],2013-11-05,['Strategy'],4.99,0.0,235585.0,"Firaxis Games,Aspyr (Mac and Linux)"
eduweb,"['RPG', 'Simulation']",2016-02-22,"['RPG', 'Simulation']",2.99,0.0,457090.0,eduweb
AGM PLAYISM,"['Adventure', 'Casual', 'Indie']",2017-08-28,"['Adventure', 'Indie', 'Casual']",1.99,0.0,689920.0,△○□× (Miwashiba)
Warner Bros. Interactive Entertainment,['Action'],2012-08-30,['Action'],3.99,0.0,216446.0,"Monolith Productions, Inc."
Siberian Digital,"['Adventure', 'Casual']",2016-06-17,"['Adventure', 'Casual', 'Pixel Graphics']",4.99,0.0,412150.0,Everlasting Fantasy
AAG Studio,"['Action', 'Indie']",2017-05-10,"['Action', 'Indie']",4.99,0.0,636080.0,N94Games
Xigma Games,"['Casual', 'Indie']",2016-10-14,"['Casual', 'Indie', 'Puzzle', 'Singleplayer', 'Minimalist', 'Atmospheric', 'Colorful', 'Abstract', 'Difficult', 'Relaxing']",2.99,0.0,531740.0,Xigma Games
Degica,['Action'],2015-10-16,['Action'],4.99,0.0,406490.0,TRIANGLE SERVICE
Ubisoft,"['Casual', 'Simulation']",2013-01-08,"['Casual', 'Simulation']",7.99,0.0,222072.0,Ubisoft - San Francisco
Ubisoft,"['Casual', 'Simulation']",2012-12-11,"['Casual', 'Simulation']",2.99,0.0,222060.0,Ubisoft - San Francisco
Dovetail Games - Flight,['Simulation'],2016-08-23,['Simulation'],16.99,0.0,491490.0,Virtavia
OtakuMaker.com,"['Action', 'Adventure', 'Casual', 'Indie']",2016-06-07,"['Adventure', 'Action', 'Indie', 'Casual', 'Platformer', 'Singleplayer', 'Anime', 'Action-Adventure', 'Funny', 'Atmospheric', 'Stylized', 'Soundtrack', 'Puzzle', 'Classic', 'Great Soundtrack', 'Arcade', '2D', 'Retro']",1.99,0.0,485090.0,7 Raven Studios
Adult Swim Games,['Action'],2016-07-25,['Action'],9.99,0.0,501260.0,Double Fine Productions
Cybertron Design Studios,"['Action', 'Indie', 'Strategy']",2015-08-21,"['Strategy', 'Action', 'Indie']",0.99,0.0,391470.0,"Jsmael Stieger,Manuel Stieger,Andreas Stieger"
Big Fat Simulations Inc.,['Adventure'],2015-09-18,"['Adventure', 'Simulation']",6.99,0.0,402210.0,Big Fat Simulations Inc.
Dovetail Games - Trains,['Simulation'],2014-02-26,"['Simulation', 'Trains', 'Open World', 'Sandbox', 'Physics', 'Atmospheric', 'Realistic', 'Family Friendly', 'TrackIR']",19.99,0.0,222625.0,Dovetail Games
2K,"['Simulation', 'Sports']",2017-11-21,"['Simulation', 'Sports']",9.99,0.0,706090.0,"Yuke's Co., LTD,Visual Concepts"
Strobs Canardly,"['Casual', 'Indie']",1984-11-01,"['Casual', 'Indie', 'Puzzle-Platformer', 'Retro', 'Puzzle', 'Medieval']",1.99,0.0,517930.0,"Ed Hobbs,Robert Crossfield"
Choice of Games,"['Adventure', 'Indie', 'RPG']",2012-04-13,"['Adventure', 'RPG', 'Indie']",0.99,0.0,675200.0,Choice of Games
Pera Games,"['Indie', 'RPG', 'Strategy']",2016-03-01,"['RPG', 'Strategy', 'Turn-Based Combat', 'Rogue-like', 'Indie', 'Strategy RPG', 'Rogue-lite', 'Survival', 'Fantasy', 'Exploration']",14.99,0.0,402310.0,Pera Games
Team17 Digital Ltd,['Action'],2010-09-22,"['Action', 'Shooter', 'Isometric', 'Third Person', 'Sci-fi', 'Aliens', 'Singleplayer', 'Co-op', 'Top-Down', 'Twin Stick Shooter', 'Top-Down Shooter', 'Horror']",9.99,0.0,22650.0,Team17 Digital Ltd
Ignition Games Inc.,"['Action', 'Casual', 'Indie']",2015-02-02,"['Action', 'Indie', 'Casual', 'Zombies', 'Survival', 'FPS']",3.99,0.0,346920.0,Ignition Games Inc.
Fresh3D,"['Action', 'Adventure', 'RPG']",2014-12-18,"['Adventure', 'Action', 'Classic', 'Third Person', 'Open World', 'RPG', 'Voxel', 'Sci-fi', 'Singleplayer', 'Remake', 'Great Soundtrack']",5.99,0.0,336610.0,Fresh3D
"Mad Dog Games, LLC",['Sports'],2017-10-04,['Sports'],9.99,0.0,596760.0,Saber Interactive
Activision,['Action'],2015-06-04,['Action'],1.99,0.0,343594.0,"Sledgehammer Games,Raven Software"
Sunfleck Software,"['Adventure', 'Free to Play', 'Simulation']",2017-06-29,"['Free to Play', 'Adventure', 'Simulation', 'Indie', 'Education', 'Multiplayer', 'Science']",,0.0,668770.0,Sunfleck Software
Screaming Bee,"['Animation &amp; Modeling', 'Audio Production', 'Software Training', 'Utilities', 'Video Production']",2016-04-29,"['Utilities', 'Video Production', 'Animation & Modeling', 'Audio Production', 'Software Training']",29.99,0.0,441850.0,Screaming Bee
Rock Paper Games,"['Action', 'Adventure', 'Indie', 'Early Access']",2015-01-30,"['Early Access', 'Adventure', 'Action', 'Indie', 'Survival', 'Singleplayer', 'Horror']",5.99,1.0,339240.0,Rock Paper Games
Semen Rodin,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'Simulation']",2016-05-20,"['Massively Multiplayer', 'Adventure', 'Casual', 'Simulation', 'Action', 'Indie', 'Survival', 'Psychological Horror']",0.99,0.0,474790.0,Semen Rodin
Red Hook Studios,"['Indie', 'RPG', 'Strategy']",2016-01-19,"['Turn-Based Combat', 'Dark Fantasy', 'RPG', 'Dungeon Crawler', 'Rogue-like', 'Lovecraftian', 'Difficult', 'Turn-Based', 'Perma Death', 'Singleplayer', 'Atmospheric', 'Strategy', 'Indie', 'Dark', '2D', 'Horror', 'Rogue-lite', 'Fantasy', 'Gothic', 'Kickstarter']",24.99,0.0,262060.0,Red Hook Studios
"WB Games, Feral Interactive (Mac)","['Action', 'Adventure']",2014-11-11,"['LEGO', 'Batman', 'Adventure', 'Action', 'Superhero', 'Open World', 'Funny', 'Space', 'Multiplayer', 'Local Co-Op', 'Comedy', 'Co-op', 'Third Person', 'Family Friendly', 'Singleplayer', 'Puzzle', 'Controller', 'Sandbox', 'Comic Book']",19.99,0.0,313690.0,"TT Games Ltd,Feral Interactive (Mac)"
SCS Software,"['Indie', 'Simulation']",2008-08-06,"['Simulation', 'Driving', 'Multiplayer', 'Open World', 'Singleplayer', 'Realistic', 'Indie', 'Relaxing', 'First-Person', 'TrackIR', 'Moddable', 'Adventure', 'Third Person', 'Exploration', 'Management', 'Atmospheric', 'Action', 'Sandbox', 'Free to Play']",4.99,0.0,232010.0,SCS Software
Spinal Games,['Action'],2017-08-14,"['Action', 'Music', 'Music-Based Procedural Generation']",6.99,0.0,665350.0,Spinal Games
Libredia,"['Casual', 'Indie']",2017-10-18,"['Indie', 'Casual']",9.99,0.0,733810.0,Puzzles By Joe
"IMCGAMES Co.,Ltd.","['Free to Play', 'Massively Multiplayer', 'RPG']",2016-08-09,"['RPG', 'Massively Multiplayer', 'Free to Play']",5.99,0.0,512912.0,"IMCGAMES Co.,Ltd."
ArcaneRaise,"['Adventure', 'Casual', 'Indie', 'RPG', 'Strategy']",2017-06-29,"['Strategy', 'Adventure', 'RPG', 'Indie', 'Casual']",1.99,0.0,658380.0,TeamAthopiu
10kbit Games,"['Action', 'Casual', 'Indie']",2017-10-17,"['Action', 'Indie', 'Casual', 'Space', 'Shooter', 'Arcade', 'Pixel Graphics', 'Retro', ""Shoot 'Em Up"", 'Bullet Hell', 'Great Soundtrack', '2D', 'Singleplayer', 'Score Attack', 'Difficult', 'Sci-fi', 'Family Friendly', 'Replay Value', 'Controller', 'Survival']",0.99,0.0,719380.0,10kbit Games
"Atomic Fabrik , Cristian Manolachi","['Adventure', 'Casual', 'Indie']",2017-06-01,"['Indie', 'Casual', 'Adventure', '2D', 'Atmospheric', 'Puzzle', 'Difficult', 'Exploration', 'Great Soundtrack', 'Funny']",1.99,0.0,603030.0,Oriplay
Theodor Niklas,"['Action', 'Casual', 'Massively Multiplayer', 'Simulation', 'Strategy']",2017-06-11,"['Simulation', 'Strategy', 'Action', 'Massively Multiplayer', 'Casual']",4.99,0.0,649740.0,Theodor Niklas
"Hammer Labs, Deck13","['Action', 'Indie', 'Early Access']",2015-10-05,"['Early Access', 'Action', 'Indie', '4 Player Local', 'Local Multiplayer', 'Multiplayer', 'Flight']",14.99,1.0,309900.0,Hammer Labs
"INTI CREATES CO., LTD.","['Action', 'Indie']",2015-08-28,"['Action', 'Indie', 'Anime', 'Soundtrack']",9.99,0.0,396990.0,"INTI CREATES CO., LTD."
Paradox Interactive,"['Strategy', 'RPG']",2010-07-08,"['Strategy', 'RPG']",3.99,0.0,24447.0,NeoCoreGames
The Fighter Collection,['Simulation'],2013-08-19,"['Simulation', 'Flight']",9.99,0.0,245570.0,Eagle Dynamics SA
Ubisoft,"['Casual', 'Simulation']",2013-02-26,"['Casual', 'Simulation']",2.99,0.0,222098.0,Ubisoft - San Francisco
Team17 Digital Ltd,"['Action', 'Casual', 'Indie', 'Simulation']",2016-08-03,"['Local Co-Op', 'Local Multiplayer', 'Casual', 'Co-op', 'Multiplayer', '4 Player Local', 'Family Friendly', 'Indie', 'Funny', 'Co-op Campaign', 'Simulation', 'Action', 'Singleplayer', 'Colorful', 'Great Soundtrack', 'Adventure', 'Difficult', 'Cute']",16.99,0.0,448510.0,Ghost Town Games Ltd.
AAD Productions,"['Action', 'Casual', 'Indie']",2016-11-28,"['Action', 'Indie', 'Casual']",0.99,0.0,538370.0,Alpha Wave Entertainment
1C Company,"['RPG', 'Strategy']",2014-01-30,"['RPG', 'Strategy', 'Turn-Based Strategy']",4.99,0.0,203358.0,Revultive Games
Incandescent Games,"['Indie', 'Simulation']",2017-02-08,"['Simulation', 'Indie', 'Programming', 'Robots', 'Puzzle', 'Sandbox', 'Building', 'Education']",19.99,0.0,290020.0,Incandescent Games
Yukitama Creative Industries,"['Indie', 'Strategy']",2016-06-16,"['Strategy', 'Indie']",4.99,0.0,459853.0,"Alexey Bokulev,Sergei Klimov,Charlie Oscar Lima Tango Interactive Entertainment"
"oblomysh, EHTechnology","['Casual', 'Indie', 'Strategy']",2017-07-09,"['Strategy', 'Casual', 'Indie']",0.99,0.0,655300.0,"oblomysh,EHTechnology"
"KOEI TECMO GAMES CO., LTD.",['RPG'],2017-03-21,['RPG'],6.99,0.0,573548.0,"KOEI TECMO GAMES CO., LTD."
Behold Studios,"['Indie', 'RPG']",2017-07-27,"['RPG', 'Indie', 'Turn-Based', 'Pixel Graphics']",14.99,0.0,349790.0,Behold Studios
